// Fares: fare ID; OriginCity; DestinationCity; TripType; DateRangeStart; DateRangeEnd; DepartureTimeRangeStart; DepartureTimeRangeEnd; POS; Channel; AdvancePurchase; SaturdayNight; ChangeFees; NonRefundable; MinimumStay; Price; nb Segments
// Segment: AirlineCode; Class;
1; SIN; BKK; OW; 2010-02-01; 2011-02-09; 00:00; 23:59; SIN; Y; IN; 0; T; F; F; 0; 500.0; SQ; Y;
2; SIN; BKK; OW; 2010-02-01; 2011-02-09; 00:00; 23:59; SIN; Y; IN; 0; T; F; F; 0; 400.0; SQ; B;
3; SIN; BKK; OW; 2010-02-01; 2011-02-09; 00:00; 23:59; SIN; Y; IN; 0; T; F; F; 0; 300.0; SQ; U;
4; SIN; BKK; OW; 2010-02-01; 2011-02-09; 00:00; 23:59; SIN; Y; IN; 0; T; T; F; 0; 360.0; SQ; H;
5; SIN; BKK; OW; 2010-02-01; 2011-02-09; 00:00; 23:59; SIN; Y; IN; 0; T; T; F; 0; 280.0; SQ; V;
6; SIN; BKK; OW; 2010-02-01; 2011-02-09; 00:00; 23:59; SIN; Y; IN; 0; T; T; F; 0; 200.0; SQ; D;
7; SIN; BKK; OW; 2010-02-01; 2011-02-09; 00:00; 23:59; SIN; Y; IN; 0; T; T; T; 0; 220.0; SQ; O;
8; SIN; BKK; OW; 2010-02-01; 2011-02-09; 00:00; 23:59; SIN; Y; IN; 0; T; T; T; 0; 160.0; SQ; K;
9; SIN; BKK; OW; 2010-02-01; 2011-02-09; 00:00; 23:59; SIN; Y; IN; 0; T; T; T; 0; 100.0; SQ; Q;


