// Fares: fare ID; OriginCity; DestinationCity; TripType; DateRangeStart; DateRangeEnd; DepartureTimeRangeStart; DepartureTimeRangeEnd; POS; Channel; Price;
// Segment: AirlineCode; Class;
1; SIN; BKK; OW; 2010-02-01; 2011-02-09; 00:00; 23:59; ALL; Y; DC; 500.0; SQ; A;
2; SIN; BKK; OW; 2010-02-01; 2011-02-09; 00:00; 23:59; ALL; Y; DC; 400.0; SQ; B;
3; SIN; BKK; OW; 2010-02-01; 2011-02-09; 00:00; 23:59; ALL; Y; DC; 350.0; SQ; C;
4; SIN; BKK; OW; 2010-02-01; 2011-02-09; 00:00; 23:59; ALL; Y; DC; 390.0; SQ; D;
5; SIN; BKK; OW; 2010-02-01; 2011-02-09; 00:00; 23:59; ALL; Y; DC; 280.0; SQ; E;
6; SIN; BKK; OW; 2010-02-01; 2011-02-09; 00:00; 23:59; ALL; Y; DC; 210.0; SQ; F;
7; SIN; BKK; OW; 2010-02-01; 2011-02-09; 00:00; 23:59; ALL; Y; DC; 330.0; SQ; G;
8; SIN; BKK; OW; 2010-02-01; 2011-02-09; 00:00; 23:59; ALL; Y; DC; 250.0; SQ; H;
9; SIN; BKK; OW; 2010-02-01; 2011-02-09; 00:00; 23:59; ALL; Y; DC; 170.0; SQ; I;


