// Yields: yield ID;  OriginCity; DestinationCity; TripType; DateRangeStart; DateRangeEnd; DepartureTimeRangeStart; DepartureTimeRangeEnd; POS; CabinCode; Channel; Yield; Segments
// Segment: AirlineCode; Class; 
1; SIN; BKK; OW; 2010-01-15; 2010-12-31; 00:00; 23:59; SIN; Y; IN; 200.0; SQ; Y;
2; SIN; BKK; OW; 2010-01-15; 2010-12-31; 00:00; 23:59; BKK; Y; IN; 200.0; SQ; Y;
3; SIN; HND; OW; 2010-01-15; 2010-12-31; 00:00; 23:59; SIN; Y; IN; 200.0; SQ; Y;
4; SIN; HND; OW; 2010-01-15; 2010-12-31; 00:00; 23:59; HND; Y; IN; 200.0; SQ; Y;
5; SIN; HND; OW; 2010-01-15; 2010-12-31; 00:00; 23:59; ROW; Y; IN; 200.0; SQ; Y;
6; SIN; BKK; OW; 2010-01-15; 2010-12-31; 00:00; 23:59; SIN; Y; IF; 200.0; SQ; Y;
7; SIN; BKK; OW; 2010-01-15; 2010-12-31; 00:00; 23:59; BKK; Y; IF; 200.0; SQ; Y;
8; SIN; HND; OW; 2010-01-15; 2010-12-31; 00:00; 23:59; SIN; Y; IF; 200.0; SQ; Y;
9; SIN; HND; OW; 2010-01-15; 2010-12-31; 00:00; 23:59; HND; Y; IF; 200.0; SQ; Y;
10; SIN; HND; OW; 2010-01-15; 2010-12-31; 00:00; 23:59; ROW; Y; IF; 200.0; SQ; Y;
11; SIN; BKK; OW; 2010-01-15; 2010-12-31; 00:00; 23:59; SIN; Y; DN; 200.0; SQ; Y;
12; SIN; BKK; OW; 2010-01-15; 2010-12-31; 00:00; 23:59; BKK; Y; DN; 200.0; SQ; Y;
13; SIN; HND; OW; 2010-01-15; 2010-12-31; 00:00; 23:59; SIN; Y; DN; 200.0; SQ; Y;
14; SIN; HND; OW; 2010-01-15; 2010-12-31; 00:00; 23:59; HND; Y; DN; 200.0; SQ; Y;
15; SIN; HND; OW; 2010-01-15; 2010-12-31; 00:00; 23:59; ROW; Y; DN; 200.0; SQ; Y;
16; SIN; BKK; OW; 2010-01-15; 2010-12-31; 00:00; 23:59; SIN; Y; DF; 200.0; SQ; Y;
17; SIN; BKK; OW; 2010-01-15; 2010-12-31; 00:00; 23:59; BKK; Y; DF; 200.0; SQ; Y;
18; SIN; HND; OW; 2010-01-15; 2010-12-31; 00:00; 23:59; SIN; Y; DF; 200.0; SQ; Y;
19; SIN; HND; OW; 2010-01-15; 2010-12-31; 00:00; 23:59; HND; Y; DF; 200.0; SQ; Y;
20; SIN; HND; OW; 2010-01-15; 2010-12-31; 00:00; 23:59; ROW; Y; DF; 200.0; SQ; Y;
21; SIN; NCE; OW; 2010-01-15; 2010-12-31; 00:00; 23:59; SIN; Y; DF; 1200.0; SQ; Y; AF; YLMN;
22; SIN; BKK; RT; 2010-01-15; 2010-12-31; 00:00; 23:59; SIN; Y; IN; 200.0; SQ; Y;
23; SIN; BKK; RT; 2010-01-15; 2010-12-31; 00:00; 23:59; BKK; Y; IN; 200.0; SQ; Y;
24; SIN; HND; RT; 2010-01-15; 2010-12-31; 00:00; 23:59; SIN; Y; IN; 200.0; SQ; Y;
25; SIN; HND; RT; 2010-01-15; 2010-12-31; 00:00; 23:59; HND; Y; IN; 200.0; SQ; Y;
26; SIN; HND; RT; 2010-01-15; 2010-12-31; 00:00; 23:59; ROW; Y; IN; 200.0; SQ; Y;
27; SIN; BKK; RT; 2010-01-15; 2010-12-31; 00:00; 23:59; SIN; Y; IF; 200.0; SQ; Y;
28; SIN; BKK; RT; 2010-01-15; 2010-12-31; 00:00; 23:59; BKK; Y; IF; 200.0; SQ; Y;
29; SIN; HND; RT; 2010-01-15; 2010-12-31; 00:00; 23:59; SIN; Y; IF; 200.0; SQ; Y;
30; SIN; HND; RT; 2010-01-15; 2010-12-31; 00:00; 23:59; HND; Y; IF; 200.0; SQ; Y;
31; SIN; HND; RT; 2010-01-15; 2010-12-31; 00:00; 23:59; ROW; Y; IF; 200.0; SQ; Y;
32; SIN; BKK; RT; 2010-01-15; 2010-12-31; 00:00; 23:59; SIN; Y; DN; 200.0; SQ; Y;
33; SIN; BKK; RT; 2010-01-15; 2010-12-31; 00:00; 23:59; BKK; Y; DN; 200.0; SQ; Y;
34; SIN; HND; RT; 2010-01-15; 2010-12-31; 00:00; 23:59; SIN; Y; DN; 200.0; SQ; Y;
35; SIN; HND; RT; 2010-01-15; 2010-12-31; 00:00; 23:59; HND; Y; DN; 200.0; SQ; Y;
36; SIN; HND; RT; 2010-01-15; 2010-12-31; 00:00; 23:59; ROW; Y; DN; 200.0; SQ; Y;
37; SIN; BKK; RT; 2010-01-15; 2010-12-31; 00:00; 23:59; SIN; Y; DF; 200.0; SQ; Y;
38; SIN; BKK; RT; 2010-01-15; 2010-12-31; 00:00; 23:59; BKK; Y; DF; 200.0; SQ; Y;
39; SIN; HND; RT; 2010-01-15; 2010-12-31; 00:00; 23:59; SIN; Y; DF; 200.0; SQ; Y;
40; SIN; HND; RT; 2010-01-15; 2010-12-31; 00:00; 23:59; HND; Y; DF; 200.0; SQ; Y;
41; SIN; HND; RT; 2010-01-15; 2010-12-31; 00:00; 23:59; ROW; Y; DF; 200.0; SQ; Y;
42; SIN; NCE; RT; 2010-01-15; 2010-12-31; 00:00; 23:59; SIN; Y; DF; 1200.0; SQ; Y; AF; YLMN;


